sza,local_time,mlt,mlat,lat,rio,date,S_sn,mS_sn,S_avcc,mS_avcc,S_avmb,mS_avmb,S_sw,mS_sw
56.985,11.092,9.358,65.864,56.380,gill,2011-09-08 15:46:00,0.203,0.297,0.207,0.353,0.039,0.072,0.193,0.230
79.254,9.092,5.431,65.979,64.050,daws,2011-09-08 15:46:00,-0.435,-0.038,-0.489,0.036,-0.352,-0.328,-0.368,-0.121
70.888,10.092,6.793,67.214,61.760,fsim,2011-09-08 15:46:00,-0.590,0.877,-0.725,0.521,-0.153,-0.084,-0.398,0.433
66.128,10.092,7.629,67.210,60.020,fsmi,2011-09-08 15:46:00,0.024,0.286,0.008,0.356,-0.095,0.017,0.040,0.206
61.687,10.092,8.437,66.721,58.220,rabb,2011-09-08 15:46:00,-0.608,0.551,-0.764,0.365,-0.088,0.122,-0.383,0.761
55.081,11.092,9.376,63.473,53.860,isll,2011-09-08 15:46:00,-0.064,-0.032,-0.075,-0.036,-0.012,-0.009,-0.050,-0.026
63.969,10.092,7.776,64.102,56.660,mcmu,2011-09-08 15:46:00,-0.648,0.529,-0.806,0.332,-0.108,0.076,-0.422,0.748
76.825,12.092,16.557,87.023,82.520,ale,2011-09-08 15:46:00,0.020,0.013,0.028,0.017,-0.016,-0.003,0.011,0.009
71.611,11.092,8.795,82.596,74.700,res,2011-09-08 15:46:00,-0.059,-0.033,-0.075,-0.039,0.019,0.001,-0.038,-0.024
67.755,12.092,11.275,80.871,72.680,pon,2011-09-08 15:46:00,0.066,0.038,0.080,0.045,-0.006,0.005,0.047,0.029
69.430,10.092,7.956,76.672,69.100,cbb,2011-09-08 15:46:00,-0.710,0.364,-0.878,0.168,-0.098,0.013,-0.469,0.803
64.443,12.092,10.787,77.490,68.770,hal,2011-09-08 15:46:00,-1.214,-3.396,-1.436,-3.763,-0.103,-0.734,-0.884,-2.869
77.945,10.092,5.582,71.217,68.300,inu,2011-09-08 15:46:00,-0.480,0.479,-0.604,0.452,-0.036,-0.710,-0.314,0.018
68.489,10.092,7.328,69.146,62.500,ykc,2011-09-08 15:46:00,0.033,0.230,0.033,0.288,-0.123,-0.002,0.029,0.162
63.897,10.092,7.639,61.738,54.600,mea,2011-09-08 15:46:00,0.075,0.268,0.071,0.329,-0.069,0.026,0.077,0.197
59.520,10.092,8.217,60.444,52.200,sas,2011-09-08 15:46:00,0.190,0.229,0.209,0.274,-0.002,0.044,0.162,0.176
54.592,11.092,8.898,59.210,49.920,brd,2011-09-08 15:46:00,-0.045,-0.023,-0.053,-0.026,-0.008,-0.006,-0.035,-0.018
65.081,9.092,7.232,55.330,49.320,pen,2011-09-08 15:46:00,-0.155,0.362,-0.209,0.466,-0.135,0.010,-0.086,0.253
42.831,13.592,13.187,52.616,47.600,stj,2011-09-08 15:46:00,0.252,0.146,0.280,0.165,0.096,0.057,0.212,0.121
52.510,11.092,10.424,55.047,45.400,ott,2011-09-26 14:46:00,-0.914,0.727,-1.095,0.673,-0.210,-0.061,-0.637,0.386
67.404,10.092,8.070,59.208,49.920,brd,2011-09-26 14:46:00,0.003,0.002,0.008,0.004,-0.028,-0.010,-0.006,-0.002
78.740,8.092,6.404,55.329,49.320,pen,2011-09-26 14:46:00,-0.353,-0.162,-0.341,-0.141,-0.490,-0.264,-0.376,-0.191
53.615,13.092,13.217,55.006,45.400,ott,2012-03-02 17:46:00,0.045,0.702,-0.062,0.814,0.195,0.143,0.184,0.483
57.744,12.092,10.866,59.185,49.920,brd,2012-03-02 17:46:00,0.298,0.185,0.332,0.218,0.047,0.032,0.242,0.140
62.487,10.092,9.200,55.321,49.320,pen,2012-03-02 17:46:00,-0.438,0.599,-0.596,0.371,0.091,-0.007,-0.212,0.604
51.766,11.675,10.736,55.002,45.400,ott,2012-03-14 15:21:00,-0.197,0.367,-0.281,0.464,-0.109,-0.000,-0.081,0.247
65.901,10.675,8.385,59.184,49.920,brd,2012-03-14 15:21:00,-0.009,0.050,0.024,0.079,-0.258,-0.085,-0.062,0.012
76.791,8.675,6.719,55.320,49.320,pen,2012-03-14 15:21:00,-0.309,-0.177,-0.303,-0.139,-0.458,-0.339,-0.321,-0.221
49.983,9.708,8.759,54.989,45.400,ott,2012-05-05 13:23:00,-1.815,-32.018,-1.993,-36.565,-0.667,-25.639,-1.454,-23.044
66.865,8.708,6.409,59.176,49.920,brd,2012-05-05 13:23:00,-0.979,0.223,-1.099,0.042,-0.194,-0.089,-0.731,0.697
79.502,6.708,4.742,55.318,49.320,pen,2012-05-05 13:23:00,-0.165,-0.033,-0.158,-0.025,-0.210,-0.069,-0.173,-0.042
51.874,9.458,8.542,54.988,45.400,ott,2012-05-08 13:08:00,-3.235,-0.095,-3.500,-0.408,-1.536,-0.814,-2.701,0.703
68.632,8.458,6.191,59.176,49.920,brd,2012-05-08 13:08:00,-1.739,-0.090,-1.867,-0.058,-1.049,-0.258,-1.484,-0.141
81.193,6.458,4.525,55.317,49.320,pen,2012-05-08 13:08:00,-0.162,-0.024,-0.157,-0.016,-0.199,-0.057,-0.167,-0.033
57.864,8.858,8.034,54.988,45.400,ott,2012-05-09 12:32:00,-0.904,0.394,-1.021,0.519,-0.377,-0.022,-0.696,0.258
74.174,7.858,5.683,59.176,49.920,brd,2012-05-09 12:32:00,-0.518,-0.036,-0.544,-0.007,-0.440,-0.170,-0.463,-0.074
86.352,5.858,4.017,55.317,49.320,pen,2012-05-09 12:32:00,-937493897148312036179510250498785542144.000,-16361209901578586112.000,-937493897148312036179510250498785542144.000,-16361209901578586112.000,-937493897148312036179510250498785542144.000,-16361209901578586112.000,,
41.948,10.458,9.411,54.988,45.400,ott,2012-05-09 14:08:00,-2.787,-1.082,-3.026,-1.255,-1.233,0.613,-2.304,-0.773
58.833,9.458,7.061,59.176,49.920,brd,2012-05-09 14:08:00,-2.002,-0.346,-2.181,-0.626,-0.813,-0.694,-1.619,0.307
